Epoch,LR,Train_Loss,Train_Seg_Loss,Train_Heatmap_Loss,Train_Seg_IoU,Train_Seg_Precision,Train_Seg_Recall,Train_Seg_F1,Train_Heatmap_IoU,Train_Heatmap_Precision,Train_Heatmap_Recall,Train_Heatmap_F1,Val_Loss,Val_Seg_Loss,Val_Heatmap_Loss,Val_Seg_IoU,Val_Seg_Precision,Val_Seg_Recall,Val_Seg_F1,Val_Heatmap_IoU,Val_Heatmap_Precision,Val_Heatmap_Recall,Val_Heatmap_F1,Val_ARCADE_Polygon_Instance_F1
43,0.00100000,0.580641,0.580641,0.000000,0.317991,0.388861,0.668921,0.452935,,,,,0.547662,0.547662,0.000000,0.353301,0.446638,0.672577,0.498987,,,,,0.287853
44,0.00100000,0.575580,0.575580,0.000000,0.325165,0.395761,0.663694,0.459819,,,,,0.555390,0.555390,0.000000,0.326552,0.378188,0.731393,0.469938,,,,,0.252033
45,0.00100000,0.580681,0.580681,0.000000,0.316806,0.386441,0.670750,0.451768,,,,,0.551183,0.551183,0.000000,0.352200,0.442049,0.667306,0.493674,,,,,0.290885
46,0.00100000,0.581197,0.581197,0.000000,0.325780,0.404947,0.640321,0.456981,,,,,0.552949,0.552949,0.000000,0.334713,0.396309,0.713343,0.477978,,,,,0.260476
47,0.00020000,0.556408,0.556408,0.000000,0.341047,0.410364,0.689653,0.478520,,,,,0.520168,0.520168,0.000000,0.373147,0.448946,0.725603,0.519937,,,,,0.312033
48,0.00020000,0.542858,0.542858,0.000000,0.360192,0.434757,0.686769,0.496488,,,,,0.508956,0.508956,0.000000,0.392201,0.479734,0.715078,0.538558,,,,,0.327421
49,0.00020000,0.535296,0.535296,0.000000,0.371283,0.459395,0.674728,0.509431,,,,,0.504495,0.504495,0.000000,0.392936,0.471647,0.725117,0.538836,,,,,0.322329
50,0.00020000,0.534627,0.534627,0.000000,0.367529,0.449878,0.693670,0.505828,,,,,0.502954,0.502954,0.000000,0.394087,0.470794,0.731361,0.539556,,,,,0.325295
51,0.00020000,0.536585,0.536585,0.000000,0.364103,0.438971,0.695875,0.501145,,,,,0.504248,0.504248,0.000000,0.397384,0.486310,0.713899,0.544072,,,,,0.335179
52,0.00020000,0.521739,0.521739,0.000000,0.382971,0.467895,0.693274,0.521897,,,,,0.506294,0.506294,0.000000,0.390302,0.470027,0.729817,0.537413,,,,,0.313682
53,0.00020000,0.532192,0.532192,0.000000,0.371713,0.452109,0.685032,0.509539,,,,,0.500868,0.500868,0.000000,0.395731,0.474067,0.737810,0.542103,,,,,0.325736
54,0.00020000,0.526061,0.526061,0.000000,0.377615,0.459688,0.696299,0.516214,,,,,0.508725,0.508725,0.000000,0.387071,0.466846,0.728630,0.534497,,,,,0.319754
55,0.00020000,0.532255,0.532255,0.000000,0.377771,0.464873,0.670378,0.513058,,,,,0.505078,0.505078,0.000000,0.388973,0.470373,0.738856,0.536341,,,,,0.319918
56,0.00020000,0.522285,0.522285,0.000000,0.379535,0.456969,0.707043,0.517548,,,,,0.487886,0.487886,0.000000,0.407527,0.485607,0.752404,0.555907,,,,,0.330611
57,0.00020000,0.520970,0.520970,0.000000,0.384304,0.471731,0.696603,0.523421,,,,,0.510082,0.510082,0.000000,0.387349,0.471260,0.723717,0.534403,,,,,0.329338
58,0.00020000,0.521779,0.521779,0.000000,0.387721,0.477154,0.683057,0.524724,,,,,0.497099,0.497099,0.000000,0.399592,0.479410,0.736060,0.546533,,,,,0.325293
59,0.00020000,0.513436,0.513436,0.000000,0.389962,0.472593,0.705567,0.529600,,,,,0.500011,0.500011,0.000000,0.405983,0.503407,0.707688,0.551796,,,,,0.332078
60,0.00020000,0.522329,0.522329,0.000000,0.384812,0.469451,0.692959,0.522049,,,,,0.499151,0.499151,0.000000,0.401059,0.488579,0.726682,0.547655,,,,,0.328221
61,0.00020000,0.518158,0.518158,0.000000,0.383924,0.465883,0.713528,0.524959,,,,,0.501698,0.501698,0.000000,0.384948,0.447949,0.764554,0.532257,,,,,0.313622
62,0.00020000,0.519226,0.519226,0.000000,0.388579,0.478793,0.689246,0.526966,,,,,0.496661,0.496661,0.000000,0.393705,0.464983,0.757922,0.541650,,,,,0.321619
63,0.00004000,0.517032,0.517032,0.000000,0.388679,0.468795,0.697212,0.525793,,,,,0.495267,0.495267,0.000000,0.403378,0.489465,0.735607,0.550463,,,,,0.334948
