Epoch,LR,Train_Loss,Train_Seg_Loss,Train_Heatmap_Loss,Train_Seg_IoU,Train_Seg_Precision,Train_Seg_Recall,Train_Seg_F1,Train_Heatmap_IoU,Train_Heatmap_Precision,Train_Heatmap_Recall,Train_Heatmap_F1,Val_Loss,Val_Seg_Loss,Val_Heatmap_Loss,Val_Seg_IoU,Val_Seg_Precision,Val_Seg_Recall,Val_Seg_F1,Val_Heatmap_IoU,Val_Heatmap_Precision,Val_Heatmap_Recall,Val_Heatmap_F1,Val_ARCADE_Polygon_Instance_F1
71,0.00000800,0.503507,0.503507,0.000000,0.398820,0.479682,0.720642,0.539200,,,,,0.482589,0.482589,0.000000,0.413081,0.487051,0.754208,0.559756,,,,,0.352972
72,0.00000800,0.507797,0.507797,0.000000,0.394283,0.472964,0.717267,0.534470,,,,,0.482618,0.482618,0.000000,0.411544,0.482639,0.758549,0.557879,,,,,0.341133
73,0.00000800,0.510261,0.510261,0.000000,0.393938,0.475971,0.713496,0.533676,,,,,0.482507,0.482507,0.000000,0.411841,0.484078,0.758902,0.558535,,,,,0.343846
74,0.00000800,0.505778,0.505778,0.000000,0.395696,0.474884,0.718163,0.536494,,,,,0.482852,0.482852,0.000000,0.410942,0.482083,0.760402,0.557525,,,,,0.345256
75,0.00000160,0.505793,0.505793,0.000000,0.398984,0.480632,0.711926,0.538917,,,,,0.481353,0.481353,0.000000,0.415732,0.491108,0.751606,0.562052,,,,,0.347041
76,0.00000160,0.506393,0.506393,0.000000,0.397890,0.481227,0.711527,0.538478,,,,,0.481120,0.481120,0.000000,0.417244,0.494946,0.747692,0.563609,,,,,0.352237
77,0.00000160,0.506844,0.506844,0.000000,0.396760,0.474716,0.717859,0.535728,,,,,0.482302,0.482302,0.000000,0.412138,0.484473,0.758940,0.558790,,,,,0.339855
78,0.00000160,0.508856,0.508856,0.000000,0.397009,0.481356,0.708178,0.536900,,,,,0.481223,0.481223,0.000000,0.413685,0.486364,0.757909,0.560458,,,,,0.346584
79,0.00000160,0.502033,0.502033,0.000000,0.401135,0.483534,0.718133,0.541643,,,,,0.482420,0.482420,0.000000,0.415638,0.494351,0.747222,0.562442,,,,,0.348872
80,0.00000160,0.508399,0.508399,0.000000,0.396051,0.478302,0.709024,0.537015,,,,,0.482494,0.482494,0.000000,0.417684,0.499780,0.740826,0.564251,,,,,0.349489
81,0.00000032,0.508962,0.508962,0.000000,0.394618,0.474955,0.713077,0.534345,,,,,0.481089,0.481089,0.000000,0.415076,0.489498,0.754757,0.561433,,,,,0.349133
82,0.00000032,0.508402,0.508402,0.000000,0.393954,0.475572,0.715325,0.534946,,,,,0.481161,0.481161,0.000000,0.414557,0.488430,0.755636,0.561169,,,,,0.350753
83,0.00000032,0.506978,0.506978,0.000000,0.398417,0.484017,0.709558,0.538688,,,,,0.482247,0.482247,0.000000,0.410614,0.479843,0.763865,0.557163,,,,,0.341135
84,0.00000032,0.507094,0.507094,0.000000,0.396758,0.478367,0.714404,0.537646,,,,,0.480100,0.480100,0.000000,0.415392,0.490292,0.757188,0.562616,,,,,0.347923
85,0.00000032,0.503702,0.503702,0.000000,0.398834,0.477979,0.721437,0.538849,,,,,0.483204,0.483204,0.000000,0.407245,0.473692,0.770481,0.554295,,,,,0.332987
86,0.00000032,0.505528,0.505528,0.000000,0.397249,0.479962,0.712896,0.538509,,,,,0.482640,0.482640,0.000000,0.410533,0.480299,0.763389,0.557071,,,,,0.339527
87,0.00000032,0.508867,0.508867,0.000000,0.395381,0.477245,0.716055,0.534925,,,,,0.482838,0.482838,0.000000,0.411604,0.485167,0.757934,0.558654,,,,,0.342586
88,0.00000032,0.506745,0.506745,0.000000,0.397051,0.478229,0.715131,0.537572,,,,,0.482272,0.482272,0.000000,0.416558,0.495567,0.745416,0.562627,,,,,0.345973
89,0.00000032,0.509518,0.509518,0.000000,0.394788,0.474754,0.708971,0.533889,,,,,0.480155,0.480155,0.000000,0.415497,0.489244,0.757105,0.562111,,,,,0.350011
90,0.00000032,0.504768,0.504768,0.000000,0.400500,0.481780,0.712993,0.540904,,,,,0.481328,0.481328,0.000000,0.412574,0.484372,0.761058,0.559658,,,,,0.340181
91,0.00000006,0.507067,0.507067,0.000000,0.396913,0.477331,0.714432,0.537000,,,,,0.481224,0.481224,0.000000,0.412865,0.484942,0.760767,0.559998,,,,,0.340295
92,0.00000006,0.507966,0.507966,0.000000,0.396883,0.480968,0.710528,0.536031,,,,,0.481309,0.481309,0.000000,0.412012,0.481984,0.764180,0.558657,,,,,0.343363
93,0.00000006,0.511452,0.511452,0.000000,0.392211,0.474240,0.707590,0.532286,,,,,0.482673,0.482673,0.000000,0.411585,0.482749,0.759698,0.557869,,,,,0.349245
94,0.00000006,0.511756,0.511756,0.000000,0.393679,0.477195,0.707413,0.532479,,,,,0.481002,0.481002,0.000000,0.415938,0.493201,0.751772,0.562750,,,,,0.349367
95,0.00000006,0.505957,0.505957,0.000000,0.395820,0.473279,0.717599,0.535906,,,,,0.482192,0.482192,0.000000,0.414128,0.488812,0.754326,0.560396,,,,,0.342800
96,0.00000006,0.503481,0.503481,0.000000,0.401709,0.483169,0.716421,0.541709,,,,,0.484219,0.484219,0.000000,0.409895,0.481201,0.759475,0.556153,,,,,0.346387
97,0.00000001,0.510679,0.510679,0.000000,0.393647,0.475869,0.707432,0.532900,,,,,0.480375,0.480375,0.000000,0.414553,0.488140,0.758680,0.561676,,,,,0.343536
98,0.00000001,0.504429,0.504429,0.000000,0.398375,0.480406,0.719074,0.538928,,,,,0.482154,0.482154,0.000000,0.413829,0.489055,0.754389,0.560590,,,,,0.347210
99,0.00000001,0.511518,0.511518,0.000000,0.393027,0.477806,0.702779,0.533416,,,,,0.482828,0.482828,0.000000,0.414037,0.490244,0.750345,0.560651,,,,,0.352095
100,0.00000001,0.507185,0.507185,0.000000,0.397470,0.477495,0.708160,0.536326,,,,,0.482059,0.482059,0.000000,0.410788,0.480797,0.763646,0.557838,,,,,0.338239
101,0.00000001,0.505271,0.505271,0.000000,0.397779,0.478445,0.717929,0.537999,,,,,0.480688,0.480688,0.000000,0.416753,0.493516,0.751519,0.563281,,,,,0.349740
