Epoch,LR,Train_Loss,Train_Seg_Loss,Train_Heatmap_Loss,Train_Seg_IoU,Train_Seg_Precision,Train_Seg_Recall,Train_Seg_F1,Train_Heatmap_IoU,Train_Heatmap_Precision,Train_Heatmap_Recall,Train_Heatmap_F1,Val_Loss,Val_Seg_Loss,Val_Heatmap_Loss,Val_Seg_IoU,Val_Seg_Precision,Val_Seg_Recall,Val_Seg_F1,Val_Heatmap_IoU,Val_Heatmap_Precision,Val_Heatmap_Recall,Val_Heatmap_F1,Val_ARCADE_Polygon_Instance_F1
54,0.00020000,0.590320,0.501693,0.088627,0.403976,0.485311,0.713604,0.543666,0.489120,0.651389,0.657146,0.622558,0.547012,0.464347,0.082665,0.425794,0.490689,0.783464,0.573610,0.529287,0.675037,0.717450,0.667463,0.345261
55,0.00020000,0.576744,0.489883,0.086862,0.414323,0.497257,0.729411,0.555125,0.498942,0.663334,0.671826,0.635122,0.544641,0.462745,0.081897,0.435851,0.515376,0.758427,0.582938,0.530518,0.696099,0.696454,0.668616,0.369530
56,0.00020000,0.570898,0.484856,0.086042,0.424121,0.514915,0.726009,0.564211,0.507441,0.680310,0.668846,0.640878,0.541535,0.460134,0.081401,0.428916,0.492981,0.789173,0.577742,0.537134,0.683762,0.724605,0.676551,0.358733
57,0.00020000,0.570136,0.484277,0.085859,0.423866,0.509945,0.726859,0.562828,0.509714,0.679152,0.671486,0.642523,0.538108,0.456907,0.081201,0.446481,0.531876,0.755895,0.593318,0.532058,0.703081,0.695102,0.671353,0.375393
58,0.00020000,0.569254,0.483414,0.085840,0.427175,0.515117,0.722894,0.566138,0.507997,0.680295,0.666931,0.640895,0.536186,0.455117,0.081069,0.445033,0.528356,0.766439,0.592831,0.535122,0.700128,0.707711,0.675100,0.378663
59,0.00020000,0.559560,0.475173,0.084387,0.430116,0.511197,0.745709,0.571011,0.515123,0.683331,0.681388,0.650007,0.532234,0.451766,0.080469,0.442993,0.517568,0.786004,0.590810,0.541786,0.708057,0.712187,0.680410,0.375398
60,0.00020000,0.554931,0.471153,0.083777,0.433017,0.512600,0.748840,0.573792,0.519265,0.687647,0.681599,0.653694,0.531152,0.450281,0.080871,0.445317,0.522439,0.787102,0.593073,0.542312,0.702108,0.719196,0.680345,0.382379
61,0.00020000,0.559301,0.474923,0.084378,0.429391,0.509751,0.749338,0.570092,0.516519,0.685243,0.683662,0.651136,0.530055,0.449845,0.080209,0.450632,0.535035,0.765855,0.598741,0.543100,0.720659,0.694401,0.680754,0.387671
62,0.00020000,0.554323,0.470751,0.083573,0.434605,0.516605,0.743163,0.575611,0.522678,0.689922,0.682539,0.656180,0.531708,0.451073,0.080635,0.449812,0.534961,0.764773,0.597071,0.540692,0.720008,0.690197,0.677326,0.384006
63,0.00020000,0.563428,0.478160,0.085269,0.428779,0.512084,0.729488,0.568427,0.513205,0.683542,0.669962,0.645176,0.533363,0.452628,0.080735,0.454270,0.550874,0.745057,0.602293,0.535774,0.732664,0.670732,0.674128,0.394082
64,0.00020000,0.556721,0.472304,0.084417,0.434681,0.521147,0.740716,0.575703,0.516371,0.684873,0.680744,0.650272,0.543244,0.461704,0.081540,0.439853,0.524924,0.752308,0.586429,0.533822,0.700272,0.699820,0.671230,0.377863
65,0.00020000,0.556375,0.472120,0.084256,0.435123,0.515607,0.738557,0.574311,0.518116,0.680887,0.680009,0.650756,0.539805,0.458168,0.081637,0.456277,0.562415,0.724764,0.600609,0.532398,0.726606,0.665819,0.668894,0.400100
66,0.00020000,0.552074,0.468666,0.083408,0.440115,0.525513,0.737473,0.579931,0.524685,0.694173,0.679818,0.656831,0.542816,0.461217,0.081600,0.442821,0.532787,0.750506,0.588616,0.533426,0.722084,0.682364,0.670313,0.392999
67,0.00020000,0.552396,0.468826,0.083570,0.438445,0.523161,0.737893,0.579155,0.524178,0.696303,0.677405,0.656926,0.524876,0.445397,0.079479,0.457594,0.542411,0.766903,0.603538,0.550501,0.716323,0.710455,0.685991,0.387947
68,0.00020000,0.552325,0.468886,0.083439,0.440384,0.529116,0.734179,0.580744,0.523956,0.693487,0.682564,0.656877,0.536265,0.455474,0.080791,0.449114,0.537800,0.750931,0.594845,0.535157,0.720407,0.683817,0.672068,0.388170
69,0.00020000,0.544918,0.462539,0.082379,0.448402,0.538428,0.738418,0.588352,0.531308,0.706896,0.680534,0.663554,0.538565,0.457271,0.081294,0.445981,0.525936,0.755905,0.590363,0.540165,0.708398,0.695535,0.674809,0.390737
