Epoch,LR,Train_Loss,Train_Seg_Loss,Train_Heatmap_Loss,Train_Seg_IoU,Train_Seg_Precision,Train_Seg_Recall,Train_Seg_F1,Train_Heatmap_IoU,Train_Heatmap_Precision,Train_Heatmap_Recall,Train_Heatmap_F1,Val_Loss,Val_Seg_Loss,Val_Heatmap_Loss,Val_Seg_IoU,Val_Seg_Precision,Val_Seg_Recall,Val_Seg_F1,Val_Heatmap_IoU,Val_Heatmap_Precision,Val_Heatmap_Recall,Val_Heatmap_F1,Val_ARCADE_Polygon_Instance_F1
34,0.00100000,0.648863,0.552147,0.096716,0.350238,0.428702,0.675915,0.486298,0.431483,0.584500,0.626479,0.568984,0.601181,0.511764,0.089417,0.361676,0.402183,0.806203,0.507354,0.482884,0.612486,0.703016,0.624124,0.286626
35,0.00100000,0.645310,0.549187,0.096124,0.357223,0.434491,0.675918,0.491826,0.437925,0.591507,0.627214,0.574117,0.586530,0.498293,0.088237,0.396818,0.468147,0.741167,0.542320,0.491902,0.632518,0.693901,0.632585,0.321639
36,0.00100000,0.639247,0.543662,0.095586,0.359281,0.437247,0.683496,0.495754,0.443231,0.596253,0.635646,0.579565,0.620536,0.526964,0.093572,0.357996,0.411766,0.760759,0.501673,0.453997,0.563910,0.719284,0.599225,0.291060
37,0.00100000,0.626330,0.532779,0.093552,0.373418,0.456513,0.680214,0.509782,0.455651,0.614742,0.634184,0.591126,0.597581,0.507547,0.090034,0.387785,0.456879,0.724068,0.531725,0.484969,0.620061,0.684843,0.624086,0.327782
38,0.00100000,0.633649,0.538942,0.094706,0.363389,0.442345,0.688071,0.500727,0.447560,0.600804,0.640725,0.584870,0.595728,0.506482,0.089246,0.408293,0.531640,0.680417,0.555310,0.472252,0.723477,0.591887,0.615562,0.371675
39,0.00100000,0.645115,0.548692,0.096424,0.354026,0.430035,0.682015,0.489132,0.436939,0.589339,0.629642,0.572566,0.590959,0.501597,0.089362,0.412932,0.523949,0.683621,0.557106,0.475079,0.678607,0.614907,0.614115,0.366285
40,0.00100000,0.641867,0.545408,0.096459,0.360620,0.443520,0.675527,0.495530,0.440172,0.597856,0.630032,0.575583,0.593408,0.503975,0.089433,0.387295,0.457080,0.752895,0.533238,0.480671,0.639706,0.670178,0.622226,0.317090
41,0.00100000,0.633833,0.538793,0.095039,0.362859,0.439223,0.693326,0.499557,0.444262,0.598400,0.638753,0.581141,0.591118,0.502788,0.088329,0.409840,0.516149,0.686111,0.554126,0.479008,0.714785,0.595526,0.617559,0.340364
42,0.00020000,0.602687,0.512435,0.090252,0.400342,0.493340,0.693034,0.537550,0.480250,0.649741,0.648991,0.614257,0.549129,0.466369,0.082759,0.441779,0.537527,0.734775,0.588487,0.520327,0.703271,0.675867,0.660057,0.370215
43,0.00020000,0.585371,0.497474,0.087897,0.410126,0.496767,0.711569,0.549713,0.491774,0.655143,0.664545,0.627661,0.552212,0.469209,0.083004,0.430691,0.510442,0.754571,0.576645,0.521342,0.697132,0.680288,0.659457,0.357232
